open,high,low,close,volume,marketCap,timestamp
2.3018203883,2.3091302441,2.1514033661,2.2181995384,495983934.92,5645331739.98,2021-10-18T23:59:59.999Z
2.2194211486,2.48419864,2.2087574535,2.3498491637,800481174.15,5980380862.28,2021-10-19T23:59:59.999Z
2.3545498074,2.435705553,2.2586179092,2.4283669406,722654469.44,6180209096.93,2021-10-20T23:59:59.999Z
2.4262623665,2.4483993219,2.2015955795,2.2193748919,577655219.08,5648323022.05,2021-10-21T23:59:59.999Z
2.224538114,2.6331251101,2.2141510002,2.6139153505,922771865.07,6652430964.01,2021-10-22T23:59:59.999Z
2.6181703071,2.6780581956,2.478391725,2.5541953203,595046296.33,6500443112.69,2021-10-23T23:59:59.999Z
2.5571836021,2.8284217504,2.5516248056,2.7072635552,807258381.69,6890002730.78,2021-10-24T23:59:59.999Z
2.702030884,3.0461092489,2.6844678042,3.0461092489,906423436.26,7752367146.66,2021-10-25T23:59:59.999Z
3.0403281874,3.473823868,3.0225182721,3.1346729922,1641979180.18,7977762428.96,2021-10-26T23:59:59.999Z
3.1399480341,3.2951377687,2.5434105044,3.0947610779,2114431781.97,7876186356.66,2021-10-27T23:59:59.999Z
3.0955825094,3.4816981984,2.9049196616,2.9281731498,1683954100.71,7452219034.59,2021-10-28T23:59:59.999Z
2.9237989704,3.0808937285,2.8505975433,2.8702926033,731813619.19,7304912680.73,2021-10-29T23:59:59.999Z
2.8760009967,2.9806183679,2.6040574772,2.6672304316,815196311.22,6788118180.08,2021-10-30T23:59:59.999Z
2.6657411729,2.8931576778,2.5687474039,2.8657952755,654363617.59,7293466953.32,2021-10-31T23:59:59.999Z
2.8654464185,2.9204389808,2.6746007496,2.7040770536,593534901.92,6881893063.97,2021-11-01T23:59:59.999Z
2.7039957563,2.7887443265,2.6780853948,2.7157166082,559871636.63,6911515803.49,2021-11-02T23:59:59.999Z
2.7239091848,2.7515396587,2.5495047823,2.6680154512,747260238.82,6790116059.85,2021-11-03T23:59:59.999Z
